"{""material"": ""play-doh"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": true, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp03"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652611207.4590898, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [358, 200], ""radius"": 45}}, ""preparation_time"": 0.6262722015380859}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.1931965351104736,0.3684955195723943,0.01839365819626748,0.01839365819626748
1,8.102634191513062,0.36456531991825186,0.016258783779859787,0.016258783779859787
2,15.026483535766602,0.37116805533721114,0.016429692544868146,0.016429692544868146
3,21.99566960334778,0.42087065849442085,0.015301693483199208,0.015301693483199208
4,28.913310050964355,0.4380593499764484,0.015419933148256293,0.015419933148256293
5,35.82250142097473,0.4376866258054377,0.015182602327656003,0.015182602327656003
6,42.74629473686218,0.4183304511869203,0.0172518772436423,0.0172518772436423
7,49.66900849342346,0.4589008924377642,0.016923784484870308,0.016923784484870308
8,56.58568787574768,0.47629444791016845,0.01520073580369452,0.01520073580369452
9,63.522037744522095,0.48338274301763146,0.01530148479871396,0.01530148479871396
10,70.46676898002625,0.37132406730065837,0.013784101102871205,0
11,77.36324763298035,0.3759221009147241,0.013948741569276835,0
12,84.2638692855835,0.3779353123615419,0.015530505544701478,0
13,91.20346903800964,0.38002364066193856,0.014716377396581826,0
14,98.11934399604797,0.39811320754716983,0.014188885316167688,0
15,105.02904343605042,0.3954711468224982,0.014433415040046693,0
16,111.94618391990662,0.3954133800759568,0.013056895931231605,0
17,118.86092257499695,0.3910049809551714,0.013180669081242158,0
18,125.77131652832031,0.3960944331098805,0.014285141166907489,0
19,132.68312001228333,0.39601931801551293,0.013318118415931224,0
20,139.5995421409607,0.39451693300102625,0.014283129210770906,0
21,146.5075650215149,0.39695772999853735,0.014552710148707071,0
22,153.41816782951355,0.3963806187974314,0.014548443718595427,0
23,160.3843629360199,0.3960497439648866,0.015442933025411887,0
24,167.2974181175232,0.3991228070175439,0.015407155130704897,0
25,174.2066035270691,0.3992953611274222,0.014725216022581922,0
26,181.13041877746582,0.39908997504770294,0.014552710148707071,0
27,188.03322529792786,0.40014673514306676,0.014289407597539494,0
28,194.93829107284546,0.3980114051761954,0.013932375337735614,0
29,201.84027338027954,0.39800995024875624,0.013277944149845067,0
30,208.74995160102844,0.40152069015938,0.015411414630308373,0
31,215.6578025817871,0.39765051395007345,0.015447192162249435,0
32,222.55947589874268,0.4006152043357258,0.015186861585589129,0
33,229.4680814743042,0.398595258999122,0.013907663005970239,0
34,236.37001657485962,0.40567417373501025,0.015687044848304965,0
35,243.27438235282898,0.4027328827505143,0.014552710148707071,0
36,250.2237696647644,0.39988238753307853,0.014201031863726343,0
37,257.13579058647156,0.4020784543325527,0.013162718932028139,0
38,264.0504198074341,0.4057779733098695,0.015319582488758532,0
39,270.96509885787964,0.4026963657678781,0.014316713530364567,0
40,277.86540961265564,0.40254982415005863,0.014312446978637094,0
41,284.7960093021393,0.4029916410030796,0.014940613271947956,0
42,291.7081162929535,0.40493319630010277,0.014441948142981165,0
43,298.6147050857544,0.4048881036513545,0.01637516845388587,0
44,305.5262665748596,0.4047654066774526,0.013453679921668793,0
