"{""material"": ""play-doh"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp02"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652597009.0268993, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [358, 220], ""radius"": 58}}, ""preparation_time"": 0.6152877807617188}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.1799523830413818,0.2435350951974993,0.018476659304366816,0.018476659304366816
1,8.089115142822266,0.25651226674244576,0.01635572672595298,0.01635572672595298
2,15.030795335769653,0.2682580278488207,0.01660454903362385,0.01660454903362385
3,21.986066818237305,0.30264279624893436,0.015477624144647262,0.015477624144647262
4,28.89718198776245,0.3136307663161883,0.016501225404482844,0.016501225404482844
5,35.83792018890381,0.32963910201761865,0.012362060458401825,0.012362060458401825
6,42.740612745285034,0.33806952732783935,0.012277722115700329,0.012277722115700329
7,49.66302227973938,0.35208866155157714,0.012003600716874119,0.012003600716874119
8,56.56380105018616,0.36506583309652363,0.011895667627256135,0.011895667627256135
9,63.483922243118286,0.3772852136023492,0.013967536584213569,0.013967536584213569
10,70.39236903190613,0.3808847210381737,0.010527231606281995,0.010527231606281995
11,77.30895805358887,0.38287392251586627,0.009695862995302229,0.009695862995302229
12,84.22249126434326,0.3963247134602633,0.012707784507042685,0.012707784507042685
13,91.13828706741333,0.39641943734015345,0.01160617556964616,0.01160617556964616
14,98.0571677684784,0.40494458653026427,0.009747760352603607,0.009747760352603607
15,104.96062541007996,0.4072179596476272,0.00971223999214954,0.00971223999214954
16,111.87543249130249,0.42114236999147486,0.008589215835773323,0.008589215835773323
17,118.79482054710388,0.42284739982949704,0.010707574932768527,0.010707574932768527
18,125.71053576469421,0.42587856398598084,0.010754146521670949,0.010754146521670949
19,132.61472058296204,0.42767831770389314,0.0095755479942361,0.0095755479942361
20,139.55278611183167,0.44122383252818037,0.010574576711390726,0.010574576711390726
21,146.4788100719452,0.4442549966846642,0.011504246163413834,0.011504246163413834
22,153.3959515094757,0.45192763095576394,0.010861158566634388,0.010861158566634388
23,160.308100938797,0.4470019892014777,0.00937732905848554,0.00937732905848554
24,167.2234184741974,0.46187363834422657,0.010205513496739371,0.010205513496739371
25,174.13871955871582,0.4712513024533485,0.010076846175985033,0.010076846175985033
26,181.05578303337097,0.47475608600928293,0.010583168161037215,0.010583168161037215
27,187.96748161315918,0.4746613621293928,0.00958507420805299,0.00958507420805299
28,194.87343835830688,0.4782608695652174,0.00844449366054123,0.00844449366054123
29,201.80293488502502,0.4907644217107133,0.011968727341641117,0.011968727341641117
30,208.7281677722931,0.49426920526664775,0.010903475233178472,0.010903475233178472
31,215.6478431224823,0.5038363171355499,0.01012884897283417,0.01012884897283417
32,222.57126879692078,0.5023207350573079,0.011461429660375333,0.011461429660375333
33,229.49795246124268,0.5104669887278583,0.011457998915552214,0.011457998915552214
34,236.42949533462524,0.5094250260490669,0.011463145031746058,0.011463145031746058
35,243.35116052627563,0.5146348394430236,0.010295953529232738,0.010295953529232738
36,250.26097011566162,0.5166240409207161,0.010454465905632704,0.010454465905632704
37,257.1758871078491,0.5180448991190679,0.011360357941910149,0.011360357941910149
38,264.1022982597351,0.5332007199014872,0.008491408004321355,0.008491408004321355
39,271.0215187072754,0.536989675097092,0.010202875732832184,0.010202875732832184
40,278.06656765937805,0.5531874585583025,0.009562698514363976,0.009562698514363976
41,284.9876012802124,0.5593445107511603,0.008627443964105419,0.008627443964105419
42,291.9251654148102,0.5729847494553377,0.01077879785164293,0.01077879785164293
43,298.8445301055908,0.5735530927346784,0.0076429920402718565,0.0076429920402718565
44,305.76162338256836,0.5756370180922611,0.009574454322128112,0.009574454322128112
