"{""material"": ""kinetic-sand"", ""start_method"": ""centroid-2d"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652587763.0807924, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [360, 220], ""radius"": 51}}, ""preparation_time"": 0.6198925971984863}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.2007689476013184,0.30747583506668297,0.020605236178658393,0.019502962845904248
1,8.124972105026245,0.5401954252720409,0.01748396338488012,0.0040301098312337524
2,15.795913934707642,0.5401169848802561,0.01761622970049037,0.0034933139747961306
3,22.7307288646698,0.5309910507126284,0.01680748181111902,0.0033051719089892684
4,29.712181568145752,0.5288737050914701,0.017985231154026393,0.002950502392306209
5,37.14499020576477,0.5397018221976808,0.018363842928649676,0.0022101443013189392
