"{""material"": ""play-doh"", ""start_method"": ""centroid-2d"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652577014.9692857, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [360, 222], ""radius"": 52}}, ""preparation_time"": 0.6213247776031494}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.1967053413391113,0.27915734965281863,0.020527607164503858,0.017319811754682224
1,8.12379002571106,0.30055386006555895,0.018431665721463597,0.01579961641782357
2,15.053836345672607,0.3793103448275862,0.021424535356460717,0.013878341582413634
3,21.992606163024902,0.4635606149512968,0.017721700795522377,0.0079402670376707
4,28.931875705718994,0.5167919210897135,0.013471981593426996,0.009907115688071899
5,35.85756969451904,0.5446963467637731,0.01346765754191237,0.007629479917003135
6,42.771644115448,0.5638410130144214,0.013305011548575552,0.007327094783722843
7,49.698004961013794,0.5693464974141984,0.012966790338254097,0.004660762575323774
8,56.653700828552246,0.5828544622962355,0.010967522932383122,0.005524427038448465
9,63.56499099731445,0.586966713548992,0.012966790338254097,0.006551650805009079
10,79.45252299308777,0.5927187316500293,0.012470148466704689,0.0067449003410090524
11,86.37640714645386,0.6009384164222874,0.015511509810600344,0.0054827682212872375
12,93.2974865436554,0.6108507147879072,0.013977944577424406,0.005054415771627019
13,102.15130925178528,0.621808386038885,0.013829257839942155,0.006998897351979005
14,109.07051396369934,0.6194721407624634,0.012971131050428464,0.007713482860088217
15,115.98149561882019,0.6256151863135693,0.013471952527288833,0.006454836375603623
16,122.90121340751648,0.6303812316715542,0.011882819195811023,0.005085204686856248
17,129.82634854316711,0.6370769410938049,0.012804177057172184,0.005936587697691786
18,136.74961519241333,0.6408755706426313,0.011895667627256135,0.006615217247000205
19,143.66911387443542,0.6469899273834622,0.011890521509500984,0.004597725066380898
20,150.61894512176514,0.706805669438913,0.010692548231170163,0.005801850086546878
21,157.52886152267456,0.7045188480449543,0.011577048081466979,0.0036178105972585195
22,164.46088767051697,0.7513588527813114,0.014250150994028488,0.004683999716447507
23,171.39079666137695,0.7645560828799629,0.010574576711390726,0.004641817746995347
24,178.32755541801453,0.758899494665918,0.010579209425349068,0.0037120498693241633
25,185.28691697120667,0.7729723657605032,0.013581871317300709,0.0010776052588195029
26,192.2245421409607,0.7817446951835635,0.009571304550558324,0.0028554799571238743
27,199.15305924415588,0.7839478417266187,0.012333144387428163,0.005409728278595094
28,206.08039379119873,0.7891472868217054,0.012258076261438267,0.0027730664449674425
29,213.01103615760803,0.7960424497015255,0.01358614504172706,0.002921146006281905
30,219.92944359779358,0.7885452961672473,0.011812601523581545,0.0033395128183836276
31,226.87152528762817,0.7990456566532914,0.013581871317300709,0.003543134626311728
32,233.80578327178955,0.7918581044983438,0.01270772807585241,0.002850994088621772
33,240.7785587310791,0.78133925737861,0.013195134857745483,0.004751195623155735
34,247.71079277992249,0.7974830795262268,0.01159759870654753,0.0046771657713948755
35,254.64462232589722,0.7893525781821985,0.014702724432511194,0.003306415542189578
36,261.5782804489136,0.7846810282027266,0.011596741019821333,0.003725881036956147
37,268.5100824832916,0.7992928452579035,0.010574576710349892,0.004392209276182557
38,275.4409701824188,0.7920198470126111,0.011502530791002386,0.0031088690336922298
39,282.3708131313324,0.7889483432805104,0.011584750275102418,0.005700112423250969
40,289.3069689273834,0.7869239453966951,0.010689532887990572,0.004219416099069506
41,296.2442035675049,0.7839910038846861,0.011490540166858465,0.0042564310249498805
42,303.17616605758667,0.7822942135289324,0.012035378144858555,0.0033891155601870615
