"{""material"": ""play-doh"", ""start_method"": ""centroid-3d"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652580712.53885, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [360, 224], ""radius"": 51}}, ""preparation_time"": 0.6251568794250488}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.212928056716919,0.3001345895020188,0.019983638663696346,0.015693287843927872
1,8.143390655517578,0.31041233329254864,0.019281226550891706,0.015032786894405015
2,15.10190725326538,0.32876544720420897,0.020432165411234382,0.015036352279142684
3,22.043324947357178,0.3653493209347853,0.017583634242702262,0.013401583561246988
4,28.995784759521484,0.37464823198335984,0.018512314548998487,0.012157759998831508
5,35.93518400192261,0.3896977853909213,0.017678272876821333,0.011588018771059638
6,42.878169536590576,0.3992414046249847,0.01590429665080817,0.010941082711998895
7,49.83599591255188,0.40462498470573843,0.018512314548998487,0.011661959459242088
8,56.785669565200806,0.4082956074880705,0.01703079977259625,0.011546309611709438
9,63.73059701919556,0.4119662302704025,0.0161269146098878,0.010949394821293978
10,70.67243790626526,0.4164933317019454,0.013523545010957871,0.009611010179190638
11,77.62545394897461,0.41820628900036705,0.01651059578036651,0.010827273168045437
12,84.57448887825012,0.42077572494799953,0.01764426505626715,0.010285673944863682
13,91.5170636177063,0.4211427872262327,0.01651059578036651,0.009326195457208364
14,98.4576997756958,0.42738284595619724,0.015557314390986954,0.010276225808369288
15,105.40238904953003,0.43288878012969534,0.013833690859448189,0.00993401603218591
16,112.3493013381958,0.4301969900893185,0.015267243956203491,0.00982716928338312
17,119.27663588523865,0.4326440719442065,0.018277137913028985,0.01078288650419068
18,126.21692967414856,0.43545821607732776,0.014423136536669823,0.009677818659109994
19,133.1590232849121,0.437660589746727,0.015930150349065975,0.01024434053345491
20,140.14569926261902,0.438272360210449,0.0162638946426088,0.010435360930729276
21,147.08333110809326,0.4412088584363147,0.017182818954688428,0.009936361328091059
22,154.01787686347961,0.4457359598678576,0.015964256348826922,0.00986980591661002
23,160.9536952972412,0.447081854888046,0.016875379139351665,0.010292173100574953
24,167.8834366798401,0.4516089563195889,0.015120308059839882,0.009271582603813888
25,174.81350541114807,0.4509971858558669,0.01738919611589007,0.009690036841824456
26,181.74793601036072,0.45466780863819894,0.01627595639348378,0.008679276588445028
27,188.69410014152527,0.45381132998898815,0.017035051737775753,0.00983920536839955
28,195.63766598701477,0.457114890493087,0.015802560332827786,0.00977902431248645
29,202.5612907409668,0.45931726416248625,0.014967767632891427,0.009554918193740547
30,209.49380826950073,0.4642114278722623,0.015587103450801165,0.009905861209083433
31,216.43420672416687,0.46531261470696195,0.017182818954688428,0.009364215633198114
32,223.37555050849915,0.4645784901504955,0.014844205971462854,0.00900553896365286
33,230.31515789031982,0.4672702801908724,0.017087709050555677,0.008580492648716742
34,237.25347590446472,0.468983237489294,0.014835672870089689,0.00986174819790675
35,244.18553280830383,0.4700844243239936,0.012801528107935556,0.00853771086445787
36,251.1656310558319,0.47045148660222685,0.015002965238571586,0.008642004554983984
37,258.10403966903687,0.47106325706594887,0.014977153931945653,0.009517182479170216
38,265.0511620044708,0.4743668175700477,0.015753881698612804,0.009265608425577443
39,272.02987933158875,0.4738774011990701,0.014959234531518262,0.009467156844250812
40,278.9712624549866,0.4787715649088462,0.015806771225067795,0.00910789458280925
41,285.90435123443604,0.48458527036946414,0.014977153931945653,0.009085564585032846
42,292.8394615650177,0.48134100085647863,0.0158376546395812,0.00965504028854891
43,299.7657859325409,0.48256454178392266,0.014123941598993661,0.008682497378657117
44,306.68837237358093,0.48336594911937375,0.014581526285112556,0.00863666674844854
