"{""material"": ""play-doh"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652578612.7092352, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [362, 222], ""radius"": 51}}, ""preparation_time"": 0.6205751895904541}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.192121982574463,0.3016028386149517,0.018599587405403017,0.018599587405403017
1,8.116755723953247,0.30392756637709534,0.019061763199471393,0.019061763199471393
2,15.049466371536255,0.32252538847424445,0.020096365587994436,0.020096365587994436
3,21.961129188537598,0.3301113422243974,0.01714517001457916,0.01714517001457916
4,28.88523817062378,0.3279089685549982,0.017770441184180252,0.017770441184180252
5,35.80792951583862,0.35751865899914353,0.01740698724933043,0.01740698724933043
6,42.72257971763611,0.3726905664994494,0.015226803754467833,0.015226803754467833
7,49.653258323669434,0.3934907622659978,0.017091065916015058,0.017091065916015058
8,56.56889081001282,0.4155144989599902,0.015125427925659962,0.015125427925659962
9,63.4950692653656,0.4246910559158204,0.012117537728946415,0.012117537728946415
10,70.40546107292175,0.4347240915208614,0.014123941482582003,0.014123941482582003
11,77.33469772338867,0.44402300256943594,0.011996937841533106,0.011996937841533106
12,84.32295250892639,0.46335494922305154,0.014128215322379178,0.014128215322379178
13,91.24677181243896,0.47742566988865776,0.012831537681770144,0.012831537681770144
14,98.18036842346191,0.4891716627921204,0.010375629674552744,0.010375629674552744
15,105.1050066947937,0.5186589991435213,0.009700818754423968,0.009700818754423968
16,112.0137403011322,0.5202496023491986,0.012424097479601826,0.012424097479601826
17,118.94390034675598,0.5463110241037563,0.012283725915497756,0.012283725915497756
18,125.8630678653717,0.5541416860393981,0.012540565114481872,0.012540565114481872
19,132.78364181518555,0.5718830294873364,0.011818611243127553,0.011818611243127553
20,139.70924043655396,0.5737183408785024,0.011744093952662849,0.011744093952662849
21,146.62854766845703,0.5952526612015172,0.010711870537016832,0.010711870537016832
22,153.55099415779114,0.6170316897100208,0.012651872032684586,0.012651872032684586
23,160.47397327423096,0.6248623516456625,0.011688933414584213,0.011688933414584213
24,167.39493060112,0.6353848036216811,0.010912081241310823,0.010912081241310823
25,174.31430339813232,0.6370977609201027,0.011686421969398841,0.011686421969398841
26,181.23553776741028,0.6516578979566866,0.01058746400643551,0.01058746400643551
27,188.1601424217224,0.6690321791263918,0.010090577043670113,0.010090577043670113
28,195.13001680374146,0.6764957787838003,0.010591759612765372,0.010591759612765372
29,202.06153416633606,0.6837146702557201,0.0094853801303324,0.0094853801303324
30,208.9834008216858,0.6993686255463817,0.007022615140394706,0.007022615140394706
31,215.89517998695374,0.6989455823536541,0.010674412188120153,0.010674412188120153
32,222.84876585006714,0.7177936373533326,0.009526246822775586,0.009526246822775586
33,229.7604377269745,0.7249425704267924,0.010912081241310823,0.010912081241310823
34,236.67260241508484,0.7311046511627907,0.007548211569946339,0.007548211569946339
35,243.58217930793762,0.7409740731766417,0.008684950853487416,0.008684950853487416
36,250.51779627799988,0.7610130836634258,0.007392489236640376,0.007392489236640376
37,257.434720993042,0.7640557424315233,0.008661719750029495,0.008661719750029495
38,264.36509943008423,0.7702117420596728,0.00876006544626784,0.00876006544626784
39,271.2861294746399,0.7738252613868526,0.005058316506230898,0.005058316506230898
40,278.2255401611328,0.7752310092403696,0.007665481507785454,0.007665481507785454
41,285.2036406993866,0.7824624624624624,0.0071351004761269765,0.0071351004761269765
42,292.1266701221466,0.7879006121714079,0.008661719754192942,0.008661719754192942
43,299.05084705352783,0.8014828988280316,0.007005524168065436,0.007005524168065436
44,305.97155499458313,0.8081554787170622,0.006741181459935297,0.006741181459935297
