"{""material"": ""plasticine"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652584524.957491, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [360, 222], ""radius"": 50}}, ""preparation_time"": 0.6243047714233398}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,1.1917095184326172,0.31536010197578074,0.019991519657781898,0.019991519657781898
1,8.109881162643433,0.3255576800509879,0.018485148651300687,0.018485148651300687
2,17.095515966415405,0.33626513702995536,0.020591699905409655,0.020591699905409655
3,24.016754388809204,0.37144678138942,0.017818040843034955,0.017818040843034955
4,30.929648637771606,0.38126195028680687,0.017267724023064313,0.017267724023064313
5,37.84372544288635,0.3833014659018483,0.01623237613317552,0.01623237613317552
6,44.7533233165741,0.38992989165073294,0.01712844412211889,0.01712844412211889
7,51.67045760154724,0.3943913320586361,0.014959234531518262,0.014959234531518262
8,58.58341312408447,0.4117272147864882,0.015231578455534356,0.015231578455534356
9,65.49298095703125,0.41848311026131296,0.015715514917622353,0.015715514917622353
10,72.40944314002991,0.4248565965583174,0.015236697669778865,0.015236697669778865
11,79.31494808197021,0.42319949012109626,0.013833690859448189,0.013833690859448189
12,86.22919702529907,0.44321223709369023,0.015116041626605736,0.015116041626605736
13,93.14545845985413,0.44231994901210964,0.015891510738961,0.015891510738961
14,100.06290459632874,0.4483110261312938,0.01445269375949021,0.01445269375949021
15,106.97443270683289,0.44767367750159337,0.015582742027954954,0.015582742027954954
16,113.87573075294495,0.4494582536647546,0.013842238547369212,0.013842238547369212
17,120.78070020675659,0.4553218610579987,0.014844205973544633,0.014844205973544633
18,127.69539403915405,0.45850860420650097,0.01361708949721574,0.01361708949721574
19,134.61415910720825,0.47520713830465267,0.016277521886670976,0.016277521886670976
20,141.54342007637024,0.48782664117272145,0.014839939419735382,0.014839939419735382
21,148.45521211624146,0.48922880815806247,0.013083003226532552,0.013083003226532552
22,155.36476230621338,0.4935627788400255,0.011734659524453961,0.011734659524453961
23,162.27959632873535,0.49547482472912685,0.014084182474849438,0.014084182474849438
24,169.23913168907166,0.5010834926704908,0.0121246629117584,0.0121246629117584
25,176.14477396011353,0.5024856596558317,0.011747490853628029,0.011747490853628029
26,183.0837903022766,0.5222434671765456,0.015345180817626924,0.015345180817626924
27,189.99552369117737,0.5173996175908222,0.011881128323948054,0.011881128323948054
28,196.90978336334229,0.5137029955385596,0.011849656759557292,0.011849656759557292
29,203.82252550125122,0.5232632249840663,0.010711870537016832,0.010711870537016832
30,210.7404932975769,0.5287444231994901,0.013722721001676708,0.013722721001676708
31,217.65607380867004,0.5362651370299554,0.011614752430663011,0.011614752430663011
32,224.57682609558105,0.548629700446144,0.0135514601995953,0.0135514601995953
33,231.492493391037,0.5516889738687062,0.011700694217461671,0.011700694217461671
34,238.39920330047607,0.5546207775653282,0.010257637941614717,0.010257637941614717
35,245.30848288536072,0.5536010197578075,0.010852567116987899,0.010852567116987899
36,252.2469129562378,0.5608667941363926,0.013075145527499887,0.013075145527499887
37,259.1908497810364,0.5645634161886552,0.010716166382415016,0.010716166382415016
38,266.09811568260193,0.5629063097514341,0.00958507420805299,0.00958507420805299
39,273.0278751850128,0.5920968769917144,0.00958507420805299,0.00958507420805299
40,279.9687283039093,0.5867431485022307,0.012564091845402081,0.012564091845402081
41,286.8766474723816,0.5910771191841937,0.011279876498462515,0.011279876498462515
42,293.8057463169098,0.5945188017845762,0.013061422544044188,0.013061422544044188
43,300.7115066051483,0.5964308476736775,0.010711870657591827,0.010711870657591827
