"{""material"": ""plasticine"", ""start_method"": ""highest-point"", ""end_method"": ""target"", ""enable_shrink"": false, ""side_shrink"": false, ""termination_condition"": ""time"", ""termination_value"": 300.0, ""log_dir"": ""./logs/exp01"", ""z_above"": 0.15812, ""disable_robot"": false, ""visual_output"": true, ""visual_wait"": false, ""start_time"": 1652584930.4963174, ""target_shape"": {""type"": ""circle"", ""params"": {""center"": [358, 222], ""radius"": 51}}, ""preparation_time"": 0.6206083297729492}"
Iteration,Time (s),IoU,Max dough height (m),Dough height at S (m)
0,7.893512964248657,0.3028263795423957,0.019595182107576048,0.019595182107576048
1,14.844358205795288,0.3102899791998042,0.02164675998726584,0.02164675998726584
2,21.77769923210144,0.32252538847424445,0.018362220547141872,0.018362220547141872
3,28.695096015930176,0.33280313226477426,0.01849448686691557,0.01849448686691557
4,35.61949682235718,0.3472409152086137,0.018298495652691593,0.018298495652691593
5,42.53832149505615,0.3547045148660223,0.01875309110591239,0.01875309110591239
6,49.44227051734924,0.37109996329377215,0.016496966153315307,0.016496966153315307
7,56.35284662246704,0.371956441942983,0.01709526593521582,0.01709526593521582
8,63.28582406044006,0.3715893796647498,0.018074277082508305,0.018074277082508305
9,70.20256519317627,0.3872507035360333,0.017023146235689346,0.017023146235689346
10,77.10912823677063,0.38492597577388965,0.017845922543382575,0.017845922543382575
11,84.01519775390625,0.3861495167013337,0.0158376546395812,0.0158376546395812
12,90.92445349693298,0.3851706839593784,0.017528738153418377,0.017528738153418377
13,97.82882380485535,0.3887189526489661,0.01595674579408346,0.01595674579408346
14,104.74846959114075,0.39104368041110976,0.014972034186700567,0.014972034186700567
15,111.66670608520508,0.3911660345038542,0.01677176530277813,0.01677176530277813
16,118.57556939125061,0.3983849259757739,0.015540443260206205,0.015540443260206205
17,125.48090648651123,0.3977731555120519,0.0158376546395812,0.0158376546395812
18,132.40361762046814,0.40866266976630367,0.016891687797628396,0.016891687797628396
19,139.32412028312683,0.4206533708552551,0.016639875644321234,0.016639875644321234
20,146.2552936077118,0.42799461641991926,0.014353537269582328,0.014353537269582328
21,153.16096925735474,0.4342346751498838,0.013709917950587625,0.013709917950587625
22,160.07581758499146,0.4368041110975162,0.015529358647123792,0.015529358647123792
23,166.9824776649475,0.43998531750887065,0.01385164113131887,0.01385164113131887
24,173.90019392967224,0.4432888780129695,0.014839939419735382,0.014839939419735382
25,180.81787705421448,0.4508748317631225,0.017026547807416637,0.017026547807416637
26,187.7398235797882,0.4524654349687997,0.013366088406997712,0.013366088406997712
27,194.6538851261139,0.45723724458583137,0.013829417135021727,0.013829417135021727
28,201.5648193359375,0.45723724458583137,0.014835672749514695,0.014835672749514695
29,208.48000621795654,0.458950201884253,0.013714191796629915,0.013714191796629915
30,215.38894081115723,0.459561972347975,0.014592815855728247,0.014592815855728247
31,222.3023555278778,0.45931726416248625,0.015714304105009513,0.015714304105009513
32,229.21556568145752,0.4642114278722623,0.013833690859448189,0.013833690859448189
33,236.13142323493958,0.4632325951303071,0.01414781652036634,0.01414781652036634
34,243.0485327243805,0.4686161752110608,0.014592815855728247,0.014592815855728247
35,249.95954537391663,0.4692279456747828,0.014753884436035758,0.014753884436035758
36,256.8726065158844,0.4766915453321914,0.01584191377641886,0.01584191377641886
37,263.7982726097107,0.47289856845711487,0.014592815855728247,0.014592815855728247
38,270.7088770866394,0.4741221093845589,0.013718465640590427,0.013718465640590427
39,277.62525701522827,0.4735103389208369,0.015846173156488175,0.015846173156488175
40,284.5600526332855,0.4793833353725682,0.011598456393273726,0.011598456393273726
41,291.4871549606323,0.4839104368041111,0.012082589592798954,0.012082589592798954
42,298.39569997787476,0.48354337452587787,0.01358614504172706,0.01358614504172706
43,305.3203155994415,0.4826868958766671,0.012578364033177358,0.012578364033177358
